id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
9108,Roberto Maehler,BRA,male,1/25/1985,1.83,82,canoe,0,0,0,0
9109,Roberto Sawyers,CRC,male,10/17/1986,1.82,111,athletics,0,0,0,0
9110,Roberto Schmits,BRA,male,2/4/1969,1.87,90,shooting,0,0,0,0
9111,Roberto Skyers,CUB,male,11/12/1991,1.83,83,athletics,0,0,0,0
9112,Robin Erewa,GER,male,6/24/1991,1.84,80,athletics,0,0,0,0
9113,Robin Haase,NED,male,4/6/1987,1.9,77,tennis,0,0,0,0
9114,Robin Middleton,AUS,male,2/8/1985,1.88,85,badminton,0,0,0,0
9115,Robin Neumann,NED,female,12/12/1997,1.73,63,aquatics,0,0,0,0
9116,Robin Pacek,SWE,male,3/17/1991,1.81,81,judo,0,0,0,0
9117,Robin Prendes,USA,male,12/13/1988,1.86,72,rowing,0,0,0,0
9118,Robin Quaison,SWE,male,10/9/1993,1.82,78,football,0,0,0,0
9119,Robin Ramaekers,BEL,male,10/26/1994,1.8,78,archery,0,0,0,0
9120,Robin Seidl,AUT,male,1/21/1990,1.9,80,volleyball,0,0,0,0
9121,Robin Vanderbemden,BEL,male,2/10/1994,1.83,74,athletics,0,0,0,0
9122,Robin de Kruijf,NED,female,5/5/1991,1.92,80,volleyball,0,0,0,0
9123,Robson Conceicao,BRA,male,10/25/1988,1.75,64.5,boxing,1,0,0,1
9124,Robyn Moodaly,RSA,female,6/16/1994,1.62,49,football,0,0,0,0
9125,Roc Oliva,ESP,male,7/18/1989,1.8,78,hockey,0,0,0,0
9126,Rocco van Rooyen,RSA,male,12/23/1992,1.9,98,athletics,0,0,0,0
9127,Rocio Campigli,ARG,female,8/6/1994,1.73,70,handball,0,0,0,0
9128,Rocio Comba,ARG,female,7/14/1987,1.8,100,athletics,0,0,0,0
9129,Rocio Gutierrez,ESP,female,7/20/1985,1.62,61,hockey,0,0,0,0
9130,Rocio Sanchez,ARG,female,8/2/1988,1.57,54,hockey,0,0,0,0
9131,Rocio Ybarra,ESP,female,12/26/1984,1.59,54,hockey,0,0,0,0
9132,Rodman Teltull,PLW,male,1/29/1994,1.53,64,athletics,0,0,0,0
9133,Rodney Govinden,SEY,male,9/13/1984,1.79,84,sailing,0,0,0,0
9134,Rodolfo Cazaubon,MEX,male,8/15/1989,1.78,72,golf,0,0,0,0
9135,Rodolfo Lombardo Ontiveros Gomez,MEX,male,11/9/1983,1.85,87,volleyball,0,0,0,0
9136,Rodolfo Pizarro,MEX,male,2/15/1994,1.73,64,football,0,0,0,0
9137,Rodrick Kuku,COD,male,4/6/1986,1.775,66,judo,0,0,0,0
9138,Rodrigo Caio,BRA,male,8/17/1993,1.82,70,football,1,0,0,1
9139,Rodrigo Diego,MEX,male,12/2/1996,1.66,69,aquatics,0,0,0,0
9140,Rodrigo Dourado,BRA,male,6/17/1994,1.86,80,football,1,0,0,1
9141,Rodrigo Etchart,ARG,male,1/24/1994,1.8,80,rugby sevens,0,0,0,0
9142,Rodrigo Faustino,BRA,male,1/6/1987,1.67,69,hockey,0,0,0,0
9143,Rodrigo Germade,ESP,male,8/23/1990,1.83,85,canoe,0,0,0,0
9144,Rodrigo Gonzalez,MEX,male,12/14/1989,1.8,69,triathlon,0,0,0,0
9145,Rodrigo Steimbach,BRA,male,1/30/1996,1.61,58,hockey,0,0,0,0
